
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (2160 ELS. CTES.)   


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= 2160
  NÚMERO DE ELEMENTOS DE CONTORNO=  900
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= 2162
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
     143      0.2666700D+01     -0.4666700D+01      0.0000000D+00
     144      0.3000000D+01     -0.4666700D+01      0.0000000D+00
     145      0.3333300D+01     -0.4666700D+01      0.0000000D+00
     146      0.3666700D+01     -0.4666700D+01      0.0000000D+00
     147      0.4000000D+01     -0.4666700D+01      0.0000000D+00
     148      0.4333300D+01     -0.4666700D+01      0.0000000D+00
     149      0.4666700D+01     -0.4666700D+01      0.0000000D+00
     150     -0.4666700D+01     -0.4333300D+01      0.0000000D+00
     151     -0.4333300D+01     -0.4333300D+01      0.0000000D+00
     152     -0.4000000D+01     -0.4333300D+01      0.0000000D+00
     153     -0.3666700D+01     -0.4333300D+01      0.0000000D+00
     154     -0.3333300D+01     -0.4333300D+01      0.0000000D+00
     155     -0.3000000D+01     -0.4333300D+01      0.0000000D+00
     156     -0.2666700D+01     -0.4333300D+01      0.0000000D+00
     157     -0.2333300D+01     -0.4333300D+01      0.0000000D+00
     158     -0.2000000D+01     -0.4333300D+01      0.0000000D+00
     159     -0.1666700D+01     -0.4333300D+01      0.0000000D+00
     160     -0.1333300D+01     -0.4333300D+01      0.0000000D+00
     161     -0.1000000D+01     -0.4333300D+01      0.0000000D+00
     162     -0.6666700D+00     -0.4333300D+01      0.0000000D+00
     163     -0.3333300D+00     -0.4333300D+01      0.0000000D+00
     164      0.1054700D-14     -0.4333300D+01      0.0000000D+00
     165      0.3333300D+00     -0.4333300D+01      0.0000000D+00
     166      0.6666700D+00     -0.4333300D+01      0.0000000D+00
     167      0.1000000D+01     -0.4333300D+01      0.0000000D+00
     168      0.1333300D+01     -0.4333300D+01      0.0000000D+00
     169      0.1666700D+01     -0.4333300D+01      0.0000000D+00
     170      0.2000000D+01     -0.4333300D+01      0.0000000D+00
     171      0.2333300D+01     -0.4333300D+01      0.0000000D+00
     172      0.2666700D+01     -0.4333300D+01      0.0000000D+00
     173      0.3000000D+01     -0.4333300D+01      0.0000000D+00
     174      0.3333300D+01     -0.4333300D+01      0.0000000D+00
     175      0.3666700D+01     -0.4333300D+01      0.0000000D+00
     176      0.4000000D+01     -0.4333300D+01      0.0000000D+00
     177      0.4333300D+01     -0.4333300D+01      0.0000000D+00
     178      0.4666700D+01     -0.4333300D+01      0.0000000D+00
     179     -0.4666700D+01     -0.4000000D+01      0.0000000D+00
     180     -0.4333300D+01     -0.4000000D+01      0.0000000D+00
     181     -0.4000000D+01     -0.4000000D+01      0.0000000D+00
     182     -0.3666700D+01     -0.4000000D+01      0.0000000D+00
     183     -0.3333300D+01     -0.4000000D+01      0.0000000D+00
     184     -0.3000000D+01     -0.4000000D+01      0.0000000D+00
     185     -0.2666700D+01     -0.4000000D+01      0.0000000D+00
     186     -0.2333300D+01     -0.4000000D+01      0.0000000D+00
     187     -0.2000000D+01     -0.4000000D+01      0.0000000D+00
     188     -0.1666700D+01     -0.4000000D+01      0.0000000D+00
     189     -0.1333300D+01     -0.4000000D+01      0.0000000D+00
     190     -0.1000000D+01     -0.4000000D+01      0.0000000D+00
     191     -0.6666700D+00     -0.4000000D+01      0.0000000D+00
     192     -0.3333300D+00     -0.4000000D+01      0.0000000D+00
     193      0.2775600D-15     -0.4000000D+01      0.0000000D+00
     194      0.3333300D+00     -0.4000000D+01      0.0000000D+00
     195      0.6666700D+00     -0.4000000D+01      0.0000000D+00
     196      0.1000000D+01     -0.4000000D+01      0.0000000D+00
     197      0.1333300D+01     -0.4000000D+01      0.0000000D+00
     198      0.1666700D+01     -0.4000000D+01      0.0000000D+00
     199      0.2000000D+01     -0.4000000D+01      0.0000000D+00
     200      0.2333300D+01     -0.4000000D+01      0.0000000D+00
     201      0.2666700D+01     -0.4000000D+01      0.0000000D+00
     202      0.3000000D+01     -0.4000000D+01      0.0000000D+00
     203      0.3333300D+01     -0.4000000D+01      0.0000000D+00
     204      0.3666700D+01     -0.4000000D+01      0.0000000D+00
     205      0.4000000D+01     -0.4000000D+01      0.0000000D+00
     206      0.4333300D+01     -0.4000000D+01      0.0000000D+00
     207      0.4666700D+01     -0.4000000D+01      0.0000000D+00
     208     -0.4666700D+01     -0.3666700D+01      0.0000000D+00
     209     -0.4333300D+01     -0.3666700D+01      0.0000000D+00
     210     -0.4000000D+01     -0.3666700D+01      0.0000000D+00
     211     -0.3666700D+01     -0.3666700D+01      0.0000000D+00
     212     -0.3333300D+01     -0.3666700D+01      0.0000000D+00
     213     -0.3000000D+01     -0.3666700D+01      0.0000000D+00
     214     -0.2666700D+01     -0.3666700D+01      0.0000000D+00
     215     -0.2333300D+01     -0.3666700D+01      0.0000000D+00
     216     -0.2000000D+01     -0.3666700D+01      0.0000000D+00
     217     -0.1666700D+01     -0.3666700D+01      0.0000000D+00
     218     -0.1333300D+01     -0.3666700D+01      0.0000000D+00
     219     -0.1000000D+01     -0.3666700D+01      0.0000000D+00
     220     -0.6666700D+00     -0.3666700D+01      0.0000000D+00
     221     -0.3333300D+00     -0.3666700D+01      0.0000000D+00
     222     -0.2220400D-15     -0.3666700D+01      0.0000000D+00
     223      0.3333300D+00     -0.3666700D+01      0.0000000D+00
     224      0.6666700D+00     -0.3666700D+01      0.0000000D+00
     225      0.1000000D+01     -0.3666700D+01      0.0000000D+00
     226      0.1333300D+01     -0.3666700D+01      0.0000000D+00
     227      0.1666700D+01     -0.3666700D+01      0.0000000D+00
     228      0.2000000D+01     -0.3666700D+01      0.0000000D+00
     229      0.2333300D+01     -0.3666700D+01      0.0000000D+00
     230      0.2666700D+01     -0.3666700D+01      0.0000000D+00
     231      0.3000000D+01     -0.3666700D+01      0.0000000D+00
     232      0.3333300D+01     -0.3666700D+01      0.0000000D+00
     233      0.3666700D+01     -0.3666700D+01      0.0000000D+00
     234      0.4000000D+01     -0.3666700D+01      0.0000000D+00
     235      0.4333300D+01     -0.3666700D+01      0.0000000D+00
     236      0.4666700D+01     -0.3666700D+01      0.0000000D+00
     237     -0.4666700D+01     -0.3333300D+01      0.0000000D+00
     238     -0.4333300D+01     -0.3333300D+01      0.0000000D+00
     239     -0.4000000D+01     -0.3333300D+01      0.0000000D+00
     240     -0.3666700D+01     -0.3333300D+01      0.0000000D+00
     241     -0.3333300D+01     -0.3333300D+01      0.0000000D+00
