
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (960 ELS. CTES.)    


DADOS

  NÚMERO DE ELEMENTOS DA MALHA=  960
  NÚMERO DE ELEMENTOS DE CONTORNO=  400
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS=  962
  NÚMERO DE PONTOS DE GAUSS=   8
  MÓDULO DE CISALHAMENTO=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DE CONTORNO

    PONTO          X                  Y                  Z
     287      0.3500000D+01      0.5000000D+00      0.0000000D+00
     288      0.4000000D+01      0.5000000D+00      0.0000000D+00
     289      0.4500000D+01      0.5000000D+00      0.0000000D+00
     290     -0.4500000D+01      0.1000000D+01      0.0000000D+00
     291     -0.4000000D+01      0.1000000D+01      0.0000000D+00
     292     -0.3500000D+01      0.1000000D+01      0.0000000D+00
     293     -0.3000000D+01      0.1000000D+01      0.0000000D+00
     294     -0.2500000D+01      0.1000000D+01      0.0000000D+00
     295     -0.2000000D+01      0.1000000D+01      0.0000000D+00
     296     -0.1500000D+01      0.1000000D+01      0.0000000D+00
     297     -0.1000000D+01      0.1000000D+01      0.0000000D+00
     298     -0.5000000D+00      0.1000000D+01      0.0000000D+00
     299     -0.4440900D-15      0.1000000D+01      0.0000000D+00
     300      0.5000000D+00      0.1000000D+01      0.0000000D+00
     301      0.1000000D+01      0.1000000D+01      0.0000000D+00
     302      0.1500000D+01      0.1000000D+01      0.0000000D+00
     303      0.2000000D+01      0.1000000D+01      0.0000000D+00
     304      0.2500000D+01      0.1000000D+01      0.0000000D+00
     305      0.3000000D+01      0.1000000D+01      0.0000000D+00
     306      0.3500000D+01      0.1000000D+01      0.0000000D+00
     307      0.4000000D+01      0.1000000D+01      0.0000000D+00
     308      0.4500000D+01      0.1000000D+01      0.0000000D+00
     309     -0.4500000D+01      0.1500000D+01      0.0000000D+00
     310     -0.4000000D+01      0.1500000D+01      0.0000000D+00
     311     -0.3500000D+01      0.1500000D+01      0.0000000D+00
     312     -0.3000000D+01      0.1500000D+01      0.0000000D+00
     313     -0.2500000D+01      0.1500000D+01      0.0000000D+00
     314     -0.2000000D+01      0.1500000D+01      0.0000000D+00
     315     -0.1500000D+01      0.1500000D+01      0.0000000D+00
     316     -0.1000000D+01      0.1500000D+01      0.0000000D+00
     317     -0.5000000D+00      0.1500000D+01      0.0000000D+00
     318     -0.4440900D-15      0.1500000D+01      0.0000000D+00
     319      0.5000000D+00      0.1500000D+01      0.0000000D+00
     320      0.1000000D+01      0.1500000D+01      0.0000000D+00
     321      0.1500000D+01      0.1500000D+01      0.0000000D+00
     322      0.2000000D+01      0.1500000D+01      0.0000000D+00
     323      0.2500000D+01      0.1500000D+01      0.0000000D+00
     324      0.3000000D+01      0.1500000D+01      0.0000000D+00
     325      0.3500000D+01      0.1500000D+01      0.0000000D+00
     326      0.4000000D+01      0.1500000D+01      0.0000000D+00
     327      0.4500000D+01      0.1500000D+01      0.0000000D+00
     328     -0.4500000D+01      0.2000000D+01      0.0000000D+00
     329     -0.4000000D+01      0.2000000D+01      0.0000000D+00
     330     -0.3500000D+01      0.2000000D+01      0.0000000D+00
     331     -0.3000000D+01      0.2000000D+01      0.0000000D+00
     332     -0.2500000D+01      0.2000000D+01      0.0000000D+00
     333     -0.2000000D+01      0.2000000D+01      0.0000000D+00
     334     -0.1500000D+01      0.2000000D+01      0.0000000D+00
     335     -0.1000000D+01      0.2000000D+01      0.0000000D+00
     336     -0.5000000D+00      0.2000000D+01      0.0000000D+00
     337     -0.4440900D-15      0.2000000D+01      0.0000000D+00
     338      0.5000000D+00      0.2000000D+01      0.0000000D+00
     339      0.1000000D+01      0.2000000D+01      0.0000000D+00
     340      0.1500000D+01      0.2000000D+01      0.0000000D+00
     341      0.2000000D+01      0.2000000D+01      0.0000000D+00
     342      0.2500000D+01      0.2000000D+01      0.0000000D+00
     343      0.3000000D+01      0.2000000D+01      0.0000000D+00
     344      0.3500000D+01      0.2000000D+01      0.0000000D+00
     345      0.4000000D+01      0.2000000D+01      0.0000000D+00
     346      0.4500000D+01      0.2000000D+01      0.0000000D+00
     347     -0.4500000D+01      0.2500000D+01      0.0000000D+00
     348     -0.4000000D+01      0.2500000D+01      0.0000000D+00
     349     -0.3500000D+01      0.2500000D+01      0.0000000D+00
     350     -0.3000000D+01      0.2500000D+01      0.0000000D+00
     351     -0.2500000D+01      0.2500000D+01      0.0000000D+00
     352     -0.2000000D+01      0.2500000D+01      0.0000000D+00
     353     -0.1500000D+01      0.2500000D+01      0.0000000D+00
     354     -0.1000000D+01      0.2500000D+01      0.0000000D+00
     355     -0.5000000D+00      0.2500000D+01      0.0000000D+00
     356     -0.4440900D-15      0.2500000D+01      0.0000000D+00
     357      0.5000000D+00      0.2500000D+01      0.0000000D+00
     358      0.1000000D+01      0.2500000D+01      0.0000000D+00
     359      0.1500000D+01      0.2500000D+01      0.0000000D+00
     360      0.2000000D+01      0.2500000D+01      0.0000000D+00
     361      0.2500000D+01      0.2500000D+01      0.0000000D+00
     362      0.3000000D+01      0.2500000D+01      0.0000000D+00
     363      0.3500000D+01      0.2500000D+01      0.0000000D+00
     364      0.4000000D+01      0.2500000D+01      0.0000000D+00
     365      0.4500000D+01      0.2500000D+01      0.0000000D+00
     366     -0.4500000D+01      0.3000000D+01      0.0000000D+00
     367     -0.4000000D+01      0.3000000D+01      0.0000000D+00
     368     -0.3500000D+01      0.3000000D+01      0.0000000D+00
     369     -0.3000000D+01      0.3000000D+01      0.0000000D+00
     370     -0.2500000D+01      0.3000000D+01      0.0000000D+00
     371     -0.2000000D+01      0.3000000D+01      0.0000000D+00
     372     -0.1500000D+01      0.3000000D+01      0.0000000D+00
     373     -0.1000000D+01      0.3000000D+01      0.0000000D+00
     374     -0.5000000D+00      0.3000000D+01      0.0000000D+00
     375     -0.4440900D-15      0.3000000D+01      0.0000000D+00
     376      0.5000000D+00      0.3000000D+01      0.0000000D+00
     377      0.1000000D+01      0.3000000D+01      0.0000000D+00
     378      0.1500000D+01      0.3000000D+01      0.0000000D+00
     379      0.2000000D+01      0.3000000D+01      0.0000000D+00
     380      0.2500000D+01      0.3000000D+01      0.0000000D+00
     381      0.3000000D+01      0.3000000D+01      0.0000000D+00
     382      0.3500000D+01      0.3000000D+01      0.0000000D+00
     383      0.4000000D+01      0.3000000D+01      0.0000000D+00
     384      0.4500000D+01      0.3000000D+01      0.0000000D+00
     385     -0.4500000D+01      0.3500000D+01      0.0000000D+00
     386     -0.4000000D+01      0.3500000D+01      0.0000000D+00
     387     -0.3500000D+01      0.3500000D+01      0.0000000D+00
     388     -0.3000000D+01      0.3500000D+01      0.0000000D+00
     389     -0.2500000D+01      0.3500000D+01      0.0000000D+00
     390     -0.2000000D+01      0.3500000D+01      0.0000000D+00
     391     -0.1500000D+01      0.3500000D+01      0.0000000D+00
     392     -0.1000000D+01      0.3500000D+01      0.0000000D+00
     393     -0.5000000D+00      0.3500000D+01      0.0000000D+00
     394     -0.1332300D-14      0.3500000D+01      0.0000000D+00
     395      0.5000000D+00      0.3500000D+01      0.0000000D+00
     396      0.1000000D+01      0.3500000D+01      0.0000000D+00
     397      0.1500000D+01      0.3500000D+01      0.0000000D+00
     398      0.2000000D+01      0.3500000D+01      0.0000000D+00
     399      0.2500000D+01      0.3500000D+01      0.0000000D+00
     400      0.3000000D+01      0.3500000D+01      0.0000000D+00
     401      0.3500000D+01      0.3500000D+01      0.0000000D+00
     402      0.4000000D+01      0.3500000D+01      0.0000000D+00
     403      0.4500000D+01      0.3500000D+01      0.0000000D+00
     404     -0.4500000D+01      0.4000000D+01      0.0000000D+00
     405     -0.4000000D+01      0.4000000D+01      0.0000000D+00
     406     -0.3500000D+01      0.4000000D+01      0.0000000D+00
     407     -0.3000000D+01      0.4000000D+01      0.0000000D+00
     408     -0.2500000D+01      0.4000000D+01      0.0000000D+00
     409     -0.2000000D+01      0.4000000D+01      0.0000000D+00
     410     -0.1500000D+01      0.4000000D+01      0.0000000D+00
     411     -0.1000000D+01      0.4000000D+01      0.0000000D+00
     412     -0.5000000D+00      0.4000000D+01      0.0000000D+00
     413     -0.8881800D-15      0.4000000D+01      0.0000000D+00
     414      0.5000000D+00      0.4000000D+01      0.0000000D+00
     415      0.1000000D+01      0.4000000D+01      0.0000000D+00
     416      0.1500000D+01      0.4000000D+01      0.0000000D+00
     417      0.2000000D+01      0.4000000D+01      0.0000000D+00
     418      0.2500000D+01      0.4000000D+01      0.0000000D+00
     419      0.3000000D+01      0.4000000D+01      0.0000000D+00
     420      0.3500000D+01      0.4000000D+01      0.0000000D+00
     421      0.4000000D+01      0.4000000D+01      0.0000000D+00
