
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (14400 ELS. CTES.)  


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= ****
  NÚMERO DE ELEMENTOS DE CONTORNO= 6400
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= ****
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
     150      0.2800000D+02      0.4000000D+02      0.0000000D+00
     151      0.2900000D+02      0.4000000D+02      0.0000000D+00
     152      0.3000000D+02      0.4000000D+02      0.0000000D+00
     153      0.3100000D+02      0.4000000D+02      0.0000000D+00
     154      0.3200000D+02      0.4000000D+02      0.0000000D+00
     155      0.3300000D+02      0.4000000D+02      0.0000000D+00
     156      0.3400000D+02      0.4000000D+02      0.0000000D+00
     157      0.3500000D+02      0.4000000D+02      0.0000000D+00
     158      0.3600000D+02      0.4000000D+02      0.0000000D+00
     159      0.3700000D+02      0.4000000D+02      0.0000000D+00
     160      0.3800000D+02      0.4000000D+02      0.0000000D+00
     161      0.3900000D+02      0.4000000D+02      0.0000000D+00
     162      0.4000000D+02     -0.4000000D+02      0.0000000D+00
     163      0.4000000D+02      0.3900000D+02      0.0000000D+00
     164      0.4000000D+02      0.3800000D+02      0.0000000D+00
     165      0.4000000D+02      0.3700000D+02      0.0000000D+00
     166      0.4000000D+02      0.3600000D+02      0.0000000D+00
     167      0.4000000D+02      0.3500000D+02      0.0000000D+00
     168      0.4000000D+02      0.3400000D+02      0.0000000D+00
     169      0.4000000D+02      0.3300000D+02      0.0000000D+00
     170      0.4000000D+02      0.3200000D+02      0.0000000D+00
